file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,68,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,13
static\style.css,69,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,11
static\style.css,70,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,22
static\style.css,71,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,72,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,73,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,31
static\style.css,74,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,14
static\style.css,75,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,76,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,30
static\style.css,77,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,78,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,5
static\style.css,79,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,13
static\style.css,80,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,31
static\style.css,81,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,8
static\style.css,82,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,83,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,11
static\style.css,84,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,13
static\style.css,85,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,30
static\style.css,86,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,87,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,14
static\style.css,88,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,19
static\style.css,89,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,90,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,91,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,3
static\style.css,92,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,28
static\style.css,93,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,94,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,95,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,10
static\style.css,96,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,25
static\style.css,97,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,72
static\style.css,98,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,28
static\style.css,99,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,27
static\style.css,100,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,101,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,102,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,7
static\style.css,103,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,25
static\style.css,104,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,26
static\style.css,105,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,40
static\style.css,106,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,29
static\style.css,107,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,108,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,109,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,10
static\style.css,110,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,22
static\style.css,111,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,112,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,113,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,3
static\style.css,114,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,28
static\style.css,115,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,116,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,22
static\style.css,117,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,29
static\style.css,118,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,31
static\style.css,119,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,120,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,121,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,7
